n,X,Y,countX,countY,meanX,varianceX,meanY,varianceY
1,3,30,3,30,1862986.3333333333,2.411258291920222E12,75130.1,1.7071365009000003E8
2,3,30,3,30,173260.66666666666,4.278927868222223E9,179195.2,5.623293299636E10
3,3,30,3,30,286827.3333333333,5.125653196222222E9,228673.4,5.119152835573334E9
4,3,30,3,30,236539.33333333334,1.036883088888889E7,353183.73333333334,1.1639219806346223E11
5,3,30,3,30,264261.0,4.2934669086666665E9,391790.3,3.540462051514332E10
6,3,30,3,30,288878.6666666667,2.4406569688888887E8,387755.4,7.876363692637334E10
7,3,30,3,30,273285.0,1.1804723606666667E9,422934.9666666667,2.8094368160516547E11
8,3,30,3,30,272633.6666666667,3.7075265688888884E8,443409.3333333333,9.464618531448894E10
9,3,30,3,30,414814.3333333333,5.567552448222222E9,468728.4,1.3627387977437335E11
10,3,30,3,30,357309.3333333333,1.5370542535555553E9,509934.1666666667,8.886279523687222E10
11,3,30,3,30,464573.0,6.986503116666667E9,760058.1,3.372560909682233E11
12,3,30,3,30,1027769.3333333334,5.7436298893555565E10,641307.8333333334,6.564623122873887E10
13,3,30,3,30,772493.6666666666,2.0920425357555557E10,835929.8333333334,2.8989573422507214E11
14,3,30,3,30,534035.3333333334,2.0367291508222225E10,867444.6666666666,2.2928942697655557E11
15,3,30,3,30,655151.6666666666,3.0822966544222218E10,833487.4,1.880045215781066E11
16,3,30,3,30,884073.3333333334,2.809489270908889E11,915685.3333333334,2.5989848307795544E11
17,3,30,3,30,760383.0,3.6870695682E10,939062.6,8.026628473095065E11
18,3,30,3,30,837002.0,4.8514668674666664E10,1082876.5333333334,4.7659901030318225E11
19,3,30,3,30,2503776.6666666665,1.4602574257215554E12,1175314.5,7.1953132995665E11
20,3,30,3,30,840693.6666666666,3.548630919355556E10,1293716.3,7.226218112012766E11
21,3,30,3,30,1014516.3333333334,6.352967034888888E9,1172443.4333333333,8.070900984680454E11
22,3,30,3,30,2081754.3333333333,3.602973311712889E12,1268999.5333333334,8.70470319567049E11
23,3,30,3,30,1427255.6666666667,9.599098667708888E11,1348233.6333333333,5.268434181398324E11
24,3,30,3,30,1060044.6666666667,1.1216303669955556E11,1430716.3333333333,1.0112003410171555E12
25,3,30,3,30,1025409.0,8.738131285066667E10,1586028.1,7.990940594524901E11
26,3,30,3,30,2358517.3333333335,8.866816038862223E11,1596602.9,7.968915104704232E11
27,3,30,3,30,1119509.3333333333,3.5207951754888885E10,1628480.0333333334,1.3975974975007656E12
28,3,30,3,30,2136397.6666666665,1.2381583599282222E12,1764349.4333333333,1.272376348497179E12
29,3,30,3,30,1226890.6666666667,4.956944834955555E10,1939937.0,1.6899967776155334E12
30,3,30,3,30,1433628.3333333333,7.094874156222221E9,2034300.4666666666,1.7539616871271814E12
31,3,30,3,30,1515752.3333333333,9.177295094688887E10,1915591.1,1.3490544209362234E12
32,3,30,3,30,1418467.3333333333,1.0030811722822223E11,2032877.3333333333,1.3205315601390889E12
33,3,30,3,30,1837989.0,1.0043901735686666E12,2287447.533333333,1.699704648704449E12
34,3,30,3,30,1699673.3333333333,3.1138719747288885E11,4537849.166666667,4.783355433987026E13
35,3,30,3,30,2042790.0,1.9355577742066666E11,3616698.1,1.5302300334391629E13
36,3,30,3,30,1688465.3333333333,1.1822557564688887E11,2584037.8,2.37546175703736E12
37,3,30,3,30,4342190.0,1.6627743706606667E12,2447894.1333333333,3.3733021013302505E12
38,3,30,3,30,1922158.3333333333,4.2480628070688885E11,2748467.9,3.795128618657289E12
39,3,30,3,30,4312143.0,1.0448776550384666E13,2836718.466666667,3.8814742491262485E12
40,3,30,3,30,4123663.3333333335,1.2922749495259553E13,3342300.3666666667,5.407780840235497E12
41,3,30,3,30,3294683.6666666665,4.508724786926889E12,3202939.3666666667,4.493994074709432E12
42,3,30,3,30,3729886.3333333335,3.444437330449555E12,3747740.933333333,7.826901738264596E12
43,3,30,3,30,2122402.6666666665,3.283171320288889E10,3136383.6333333333,2.5818228392853657E12
44,3,30,3,30,4275360.0,1.2602079907946667E12,5138808.2,8.915996507851361E12
45,3,30,3,30,7639627.666666667,3.2082762032068887E12,4445903.133333334,7.205425343544114E12
46,3,30,3,30,4175215.6666666665,6.992173076424223E12,3054728.2333333334,3.4361851277873115E12
47,3,30,3,30,4259357.666666667,1.111321251460422E13,3171393.566666667,3.033702771896312E12
48,3,30,3,30,1972086.0,5.5966375616666664E10,3219368.533333333,3.5182899756151816E12
49,3,30,3,30,4628220.333333333,1.273770615238022E13,3475302.2333333334,5.408408059654044E12
50,3,30,3,30,3131942.0,2.6520489702326665E12,3770844.8666666667,6.410277975394981E12
51,3,30,3,30,4178950.6666666665,1.0205631104641557E13,3660744.6333333333,6.387999777027564E12
52,3,30,3,30,3141645.3333333335,2.0559541686035557E12,3411196.566666667,3.081412936496046E12
53,3,30,3,30,3772737.3333333335,6.69328764543489E12,3713559.8333333335,6.240632253650071E12
54,3,30,3,30,4520357.0,4.715562454834667E12,6725664.666666667,9.221690575877169E13
55,3,30,3,30,4395880.0,6.422533261152667E12,5586651.433333334,1.4463859940539443E13
56,3,30,3,30,6378590.0,5.249724350168667E12,4279380.0,4.5417642067396E12
57,3,30,3,30,7348738.666666667,3.189408412427289E13,4409857.533333333,1.341892831435505E13
58,3,30,3,30,7487715.333333333,4.819814264782156E13,4759231.933333334,8.720536590761796E12
59,3,30,3,30,3911239.3333333335,2.4147575774728887E12,4480188.466666667,1.2765230356106648E13
60,3,30,3,30,5644623.666666667,4.014600382219555E12,4476353.166666667,1.2723736645612467E13
61,3,30,3,30,3625010.6666666665,2.756635765322889E12,5387399.733333333,1.3745897011526799E13
