n,X,Y,countX,countY,meanX,varianceX,meanY,varianceY
1,3,30,3,30,1311031.6666666667,7.243496292962222E11,85143.06666666667,3.3791526579555553E8
2,3,30,3,30,177697.33333333334,5.087192230888889E9,207005.0,7.416534607526666E10
3,3,30,3,30,183939.66666666666,1.526637200888889E9,259125.43333333332,1.5443404777378885E10
4,3,30,3,30,237852.66666666666,5.341386415555556E8,227253.3,1.830220261343334E9
5,3,30,3,30,308705.3333333333,1.4454048135555556E9,376242.6666666667,1.7296197943162216E11
6,3,30,3,30,306494.6666666667,6.416560842222222E8,371758.8,5.562329953082666E10
7,3,30,3,30,243892.0,5.22808832E8,370765.2,4.2762146306493324E10
8,3,30,3,30,269288.6666666667,3.9285020422222215E8,436371.63333333336,8.89743441318989E10
9,3,30,3,30,318358.6666666667,2.938413268888889E8,444628.36666666664,1.2725487171089891E11
10,3,30,3,30,338061.3333333333,9.89833466888889E8,477407.3,1.3009303360174336E11
11,3,30,3,30,396970.3333333333,5.416966942222222E8,521630.93333333335,4.645514069311954E11
12,3,30,3,30,491045.0,7.362701204666667E9,716821.1666666666,2.766405255121388E11
13,3,30,3,30,466594.6666666667,2.6944027602222223E9,574356.5333333333,1.4416269190244888E11
14,3,30,3,30,442416.3333333333,1.298367408222222E9,768930.1,5.351282158090235E11
15,3,30,3,30,490104.0,7.094982586666666E8,653210.1666666666,1.5541466054453885E11
16,3,30,3,30,544109.6666666666,7.198275070888889E9,863657.4333333333,3.7395883307764557E11
17,3,30,3,30,552392.6666666666,6.701129936888888E9,867848.5,4.4348664995338336E11
18,3,30,3,30,640900.0,4.846517306E9,984283.7666666667,3.868899286211789E11
19,3,30,3,30,729007.0,9.125646290666666E9,984056.8666666667,3.116525070811156E11
20,3,30,3,30,888913.3333333334,9.677764564222221E9,1110063.9666666666,7.718451780585657E11
